Info, Time, Steps, Train accuracy, Loss, Validation accuracy, Train Folds, Final test accuracy,Tensorboard dir, Misclassified Images, Early Stopping Result
Date created: Tue Oct 10 15:22:17 SGT 2017

#################### Setting ######################

home_dir: /home/duclong002/
Jpeg_data_dir: /home/duclong002/Dataset/JPEG_data/
code_dir: /home/duclong002/FYP/image_retraining/
dataset_arr: PAP_smear_JPEG

learning_rate_arr:  0.1 0.03
how_many_training_steps: 10000
testing_percentage_arr: 20
train_batch_size_arr: 30 50 100
hidden_layer1_size_arr: 50 100
dropout_keep_prob_arr: 0.7 0.8
learning_rate_decay_arr: 0.33 0.5

################# End of Setting ##################

"[Namespace(architectures='', bottleneck_dir='/tmp/bottleneck', checkpoint_dir='/home/duclong002/checkpoints', csvlogfile='/home/duclong002/retrain_logs/logfile/log_10-10-15:22:17.csv', dropout_keep_prob=0.69999999, early_stopping_n_steps=5, eval_step_interval=100, final_tensor_name='final_result', flip_left_right=False, hidden_layer1_size=50, how_many_training_steps=10000, image_dir='/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/', intermediate_output_graphs_dir='/tmp/intermediate_graph/', intermediate_store_frequency=0, learning_rate=0.1, learning_rate_decay=0.33, model_dir='/home/duclong002/pretrained_model/', output_graph='/tmp/output_graph.pb', output_labels='/tmp/output_labels.txt', print_misclassified_test_images=True, random_brightness=0, random_crop=0, random_scale=0, summaries_dir='/home/duclong002/retrain_logs/PAP_smear_JPEG_10-10-15:22:17', test_batch_size=-1, testing_percentage=20, train_batch_size=30, validation_batch_size=-1, validation_percentage=10), ['inception_resnet_v2']]"
,2017-10-10 15:23:32.034857,,,,,,87.34177351,/home/duclong002/retrain_logs/PAP_smear_JPEG_10-10-15:22:17,"[('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/158986813-158986820-001.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/153956444-153956458-001.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/209566399-209566517-001.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/157267263-157267286-001.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/157181481-157181497-002.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/157185527-157185540-001.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/158986766-158986776-002.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/157184850-157184920-001.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/157185781-157185814-001.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/157185781-157185793-001.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/149316117-149316122-003.jpg', 'normal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/149011613-149011656-001.jpg', 'normal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/149014631-149014646-003.jpg', 'normal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/149317204-149317230-002.jpg', 'normal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/149316117-149316131-002.jpg', 'normal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/153826963-153826976-002.jpg', 'normal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/153701139-153701158-004.jpg', 'normal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/149316426-149316462-001.jpg', 'normal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/153826963-153826989-002.jpg', 'normal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/149101437-149101467-001.jpg', 'normal')]"
,2017-10-10 15:23:32.817938,0,66.666674614,0.685125,25.2688169479,"['fold1', 'fold3', 'fold4']"
,2017-10-10 15:23:34.853457,100,93.3333396912,0.247208,88.7096762657,"['fold1', 'fold3', 'fold4']"
,2017-10-10 15:23:37.031639,200,93.3333396912,0.158251,84.4085931778,"['fold1', 'fold3', 'fold4']"
,2017-10-10 15:23:39.093891,300,96.6666698456,0.169547,90.3225839138,"['fold1', 'fold3', 'fold4']"
,2017-10-10 15:23:41.273733,400,100.0,0.109994,91.9354856014,"['fold1', 'fold3', 'fold4']"
,2017-10-10 15:23:43.395272,500,100.0,0.0480514,90.8602118492,"['fold1', 'fold3', 'fold4']"
,2017-10-10 15:23:45.657048,600,96.6666698456,0.133752,92.4731194973,"['fold1', 'fold3', 'fold4']"
,2017-10-10 15:23:47.806575,700,100.0,0.0449781,90.8602118492,"['fold1', 'fold3', 'fold4']"
,2017-10-10 15:23:50.054522,800,100.0,0.0940167,93.0107593536,"['fold1', 'fold3', 'fold4']"
,2017-10-10 15:23:52.198445,900,100.0,0.0118312,93.0107474327,"['fold1', 'fold3', 'fold4']"
,2017-10-10 15:23:54.493087,1000,100.0,0.0179994,93.0107533932,"['fold1', 'fold3', 'fold4']"
,2017-10-10 15:23:56.664233,1100,100.0,0.0148024,93.548387289,"['fold1', 'fold3', 'fold4']"
,2017-10-10 15:23:58.965782,1200,100.0,0.0401662,94.6236491203,"['fold1', 'fold3', 'fold4']"
,2017-10-10 15:24:01.274614,1300,100.0,0.00251233,94.0860211849,"['fold1', 'fold3', 'fold4']"
,2017-10-10 15:24:03.466853,1400,100.0,0.00953142,94.6236550808,"['fold1', 'fold3', 'fold4']"
,2017-10-10 15:24:05.788339,1500,100.0,0.0110985,94.0860211849,"['fold1', 'fold3', 'fold4']"
,2017-10-10 15:24:08.092181,1600,100.0,0.0018265,94.0860211849,"['fold1', 'fold3', 'fold4']"
,,,,,,,,,"The best result is at 1200 steps:Train accuracy: 100.0, Validation accuracy: 94.62, Loss: 0.0401662"
,2017-10-10 15:24:08.615479,,,,,,87.974691391,/home/duclong002/retrain_logs/PAP_smear_JPEG_10-10-15:22:17,"[('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/158986813-158986820-001.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/209566399-209566517-001.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/157267263-157267286-001.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/157181481-157181497-002.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/157185527-157185540-001.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/158986766-158986776-002.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/157227461-157227503-002.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/157184850-157184920-001.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/157185781-157185814-001.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/157185781-157185793-001.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/149316117-149316122-003.jpg', 'normal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/149011613-149011656-001.jpg', 'normal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/149317204-149317230-002.jpg', 'normal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/149316117-149316131-002.jpg', 'normal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/149314453-149314507-002.jpg', 'normal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/153826963-153826976-002.jpg', 'normal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/153701139-153701158-004.jpg', 'normal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/149316426-149316462-001.jpg', 'normal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/149101437-149101467-001.jpg', 'normal')]"
,2017-10-10 15:24:09.422980,0,53.3333420753,0.691907,32.9842925072,"['fold1', 'fold2', 'fold4']"
,2017-10-10 15:24:11.479675,100,100.0,0.0814433,86.3874435425,"['fold1', 'fold2', 'fold4']"
,2017-10-10 15:24:13.669006,200,93.3333337307,0.225695,73.2984304428,"['fold1', 'fold2', 'fold4']"
,2017-10-10 15:24:15.735372,300,93.3333396912,0.144125,85.8638763428,"['fold1', 'fold2', 'fold4']"
,2017-10-10 15:24:17.960349,400,100.0,0.104575,81.1518311501,"['fold1', 'fold2', 'fold4']"
,2017-10-10 15:24:20.083463,500,90.0000095367,0.171267,88.4816765785,"['fold1', 'fold2', 'fold4']"
,2017-10-10 15:24:22.216807,600,96.6666698456,0.115718,86.3874435425,"['fold1', 'fold2', 'fold4']"
,2017-10-10 15:24:24.463054,700,96.6666698456,0.0615093,86.9109988213,"['fold1', 'fold2', 'fold4']"
,2017-10-10 15:24:26.731340,800,100.0,0.0228798,86.3874435425,"['fold1', 'fold2', 'fold4']"
,2017-10-10 15:24:28.887493,900,100.0,0.087031,86.9109988213,"['fold1', 'fold2', 'fold4']"
,,,,,,,,,"The best result is at 500 steps:Train accuracy: 90.0, Validation accuracy: 88.48, Loss: 0.171267"
,2017-10-10 15:24:29.456547,,,,,,84.1772198677,/home/duclong002/retrain_logs/PAP_smear_JPEG_10-10-15:22:17,"[('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/158986813-158986820-001.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/157222534-157223355-001.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/153956444-153956458-001.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/209566399-209566517-001.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/157181481-157181497-003.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/157185433-157185508-002.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/157267263-157267286-001.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/157223394-157223406-001.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/209565698-209565729-001.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/157181481-157181497-002.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/157223394-157223428-001.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/153956040-153956058-003.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/157185527-157185540-001.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/157185433-157185508-005.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/158986766-158986776-002.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/157227461-157227503-002.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/157184850-157184920-001.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/157185781-157185814-001.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/157185781-157185793-001.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/157222534-157222561-001.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/149316117-149316122-003.jpg', 'normal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/149316117-149316131-002.jpg', 'normal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/153826963-153826976-002.jpg', 'normal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/149316426-149316462-001.jpg', 'normal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/149101437-149101467-001.jpg', 'normal')]"
,2017-10-10 15:24:30.123153,0,53.3333420753,0.691965,29.1666686535,"['fold1', 'fold2', 'fold3']"
,2017-10-10 15:24:32.329991,100,86.6666734219,0.374722,77.083337307,"['fold1', 'fold2', 'fold3']"
,2017-10-10 15:24:34.436187,200,93.3333396912,0.144045,85.416674614,"['fold1', 'fold2', 'fold3']"
,2017-10-10 15:24:36.541861,300,100.0,0.120172,86.458337307,"['fold1', 'fold2', 'fold3']"
,2017-10-10 15:24:38.743130,400,100.0,0.037997,83.333337307,"['fold1', 'fold2', 'fold3']"
,2017-10-10 15:24:40.865093,500,100.0,0.0611018,89.0625059605,"['fold1', 'fold2', 'fold3']"
,2017-10-10 15:24:43.093997,600,93.3333396912,0.0756438,89.583337307,"['fold1', 'fold2', 'fold3']"
,2017-10-10 15:24:45.200400,700,93.3333396912,0.0685414,88.541674614,"['fold1', 'fold2', 'fold3']"
